A;B;C;D;E
Braucht es überhaupt eine Reform des Strommarktdesigns, um das Klimaneutrale Stromsystem zu realisieren? (q_50625 - Typ 111);;;;
v_177;v_177;int;Reform SMD;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
 ;;;;
;;;;
;;;;
37;Filter: Nachfrage Reform SMD (PGID 34717);;;
;;;;
Filter;(v_177;;;
 ;v_177 Reform SMD;Braucht es überhaupt eine Reform des Strommarktdesigns, um das Klimaneutrale Stromsystem zu realisieren? - Reform SMD;kleiner gleich;2
;;;;
;;;;
;;;;
37.1;Reform SMD: Wünsche/Erwartungen (PGID 34718);;;
;;;;
Welche konkreten Wünsche und Erwartungen hast Du an eine Reform des Strommarktdesigns? (q_50630 - Typ 143);;;;
v_205;v_205;varchar;Thema 1:;
v_206;v_206;varchar;Thema 2:;
v_207;v_207;varchar;Thema 3:;
 ;;;;
;;;;
;;;;
38;Reform ES Thesen (PGID 34719);;;
;;;;
Im Hinblick auf mögliche Reformen des Strommarktes werden verschiedene Ansätze diskutiert. Wie bewertest Du dahingehend die folgenden Thesen: (q_50663 - Typ 311);;;;
v_258;v_258;int;„Wir brauchen ein stringentes Marktdesign statt einer Flut von Ausnahmen und Sonderregeln.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
v_259;v_259;int;„Das heutige Strommarktdesign ist nicht in der Lage, den klimapolitisch notwendigen Ausbau Erneuerbarer Energien zu gewährleisten.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
v_263;v_263;int;„Ziel einer Reform des Strommarktes muss sein, die koordinierende Funktion des Marktes zu stärken.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
v_264;v_264;int;„Dezentralität wird zunehmend zu einem Strukturmerkmal der neuen Energiewirtschaft.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
v_271;v_271;int;„Die Vor-Ort-Ebene war im konventionellen Energiesystem durch passive Endkunden geprägt. In der neuen Energiewelt wird sie zu einem wichtigen Bestandteil des Energiesystems.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
v_272;v_272;int;„Der Aufbau eines flexiblen Strommarkts beinhaltet die eindeutige Abkehr vom Kupferplatten-Ideal und die Anerkennung der Existenz von Engpässen im Stromsystem.“;
;;1;Ich stimme voll zu;
;;2;Ich stimme zu;
;;3;Stimme eher zu;
;;4;Stimme eher nicht zu;
;;5;Stimme nicht zu;
;;6;Stimme überhaupt nicht zu;
;;7;Keine Angabe;
 ;;;;
;;;;
;;;;
39;Fehlende Thesen  (PGID 34720);;;
;;;;
Welche These fehlt Dir, die Du zur Beschreibung der Herausforderung wichtig findest? (q_50665 - Typ 142);;;;
v_273;v_273;blob;Fehlende These;
 ;;;;
;;;;
;;;;
40;Abschluss & Hintergrund (PGID 34721);;;
;;;;
Bitte sag uns noch kurz was zu Deinem Hintergrund.  Ich arbeite im Bereich: (q_50671 - Typ 111);;;;
v_296;v_296;int;Tätigkeitsbereich;
;;1;Politik;
;;2;Privatsektor;
;;3;Energiewirtschaft;
;;4;NGO;
;;5;Wissenschaft;
;;6;Sonstiger Bereich:;
v_304;v_304;varchar;Tätigkeitsbereich;
 ;;;;
;;;;
Ich habe X Jahre Erfahrung im Bereich (Erneuerbare) Energie(wirtschaft) (q_50675 - Typ 911);;;;
v_306;v_306;int;Antwortoption;
 ;;;;
;;;;
;;;;
41;E-Mail (PGID 34722);;;
;;;;
Wenn Du über die Ergebnisse informiert werden möchtest, kannst Du hier Deine Emailadresse eingeben. (q_50669 - Typ 141);;;;
v_290;v_290;varchar;E-Mail-Adresse;
 ;;;;
